,이미지,설명,가격
66,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/ddc1/40472e4de5fc0ec7f132762f648f9ba6bfc44434c9801748bd36afda2091.jpg,"HP 15s-eq1044AU, 8GB, SSD 256GB, 미포함","499,000"
67,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/03/20/10/1/65f73618-18c7-4548-a6cd-a1a155f17952.jpg,"LG전자 울트라PC 노트북 17UD70N-GX76K (i7-10510U 43.1cm UHD Graphics), 미포함, NVMe 256GB, 8GB","1,262,200"
68,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/06/26/18/9/2a646ce0-3f8f-4c12-a2f9-5d468c2ba599.jpg,"HP 노트북 14s-dq1005tu (i5-1035G1 35.56cm UHD), 미포함, NVMe 256GB, 4GB","539,000"
69,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/06/05/14/8/fe90ff54-ad99-4e5e-af73-f167baa5c3a2.jpg,"MSI 게이밍 노트북 GP65 Leopard 9SD (i7-9750H 39.6cm GTX 1660 Ti), 미포함, NVMe 512GB, 8GB","1,383,680"
70,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/06/29/14/8/edeefb93-a945-4d87-a525-f393606b45a6.jpg,"MSI 프레스티지14 노트북 화이트 A10SC 064 (i7-10710U 35.56cm GTX1650), 미포함, NVMe 512GB, 16GB","1,549,000"
71,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/02/12/16/1/297a98d4-2f10-43a4-9317-0432f2828cfb.jpg,"HP 노트북 포세이돈블루 Spectre X360 13-aw0212TU (i5-1035G4 33.7cm WIN10 Home Iris Plus Graphics), 포함, SSD 256GB, 8GB","1,530,900"
72,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/cf5b/20836e396f14385c3abb96ed5ef3c85f35288a739b9885ef376d92035225.jpg,"삼성 슬림 삼성노트북 i7-4세대 8G SSD240G 15.6인치 WIN10, 8GB, SSD 240GB, 포함","549,000"
73,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/07/01/18/0/659e0e83-031c-4e9a-9e97-96750d25fb7c.jpg,"MSI 게이밍 노트북 GP65 Leopard 10SFK (i7-10750H 39.624cm RTX2070), 미포함, NVMe 512GB, 16GB","1,799,000"
74,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/06/29/14/5/7cf615bd-97f6-4cdb-a835-ebadf34b506d.jpg,"MSI 노트북 GF75 Thin 10SCSR 044 (i7-10750H 43.942cm GTX1650Ti), 미포함, NVMe 256GB, 8GB","1,199,000"
75,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/342252193831291-2bc5f435-0f83-4419-a43f-45e4dae5dcfe.jpg,"에이수스 크레이터X 노트북 X571LH-BN019 (i5-10300H 39.6cm GTX 1650), 미포함, NVMe 512GB, 8GB","949,000"
76,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/07/29/15/4/b99a0c5b-1b2f-4b8d-952c-4ebd603a65c0.jpg,"레이저 Blade 15 Studio Edition 10Gen 노트북 RZ09-0330QEM3-R3K1 (i7-10875H 39.62cm WIN10 Pro Quadro RTX5000), 포함, NVMe 1TB, 32GB","6,390,000"
77,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/03/18/18/3/de1a5b25-9106-48b0-a538-1af8157cf98a.jpg,"LG전자 울트라PC 13U50N-GR56K (i5-10210U 33.7cm WIN10 UHD graphics), 포함, SSD 256GB, 8GB","881,700"
78,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/03/11/10/0/b33238d0-b3db-4ffc-b787-00b431d007fa.jpg,"에이수스 UM433DA-A5004 (라이젠 R7-3700U 35.5cm WIN미포함 라데온 Vega10), 미포함, NVMe 1TB, 16GB","1,099,000"
79,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/02/05/15/1/e9638127-5fb2-4ab6-bbd4-7a5756e75cae.jpg,"레노버 아이디어패드 노트북 플래티넘그레이 S340-13IML 7D (10세대 i7-10510U 13.3cm WIN미포함 UHD Graphics), 미포함, SSD 256GB, 8GB","742,210"
80,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/e207/5d075683bf530171089fe271facdc9a23f3a43a36ce4e39a175f538b8822.jpg,"삼성 노트북 플러스 NT550XCR-AD1A WIN미포함 SSD256G, 4GB, SSD 256GB, 미포함","511,000"
81,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/06/22/16/8/7ec9958e-ce59-421b-9f09-ff695dd7f080.jpg,"레노버 노트북 8th ThinkPad X1 CARBON-20U9000RKR (i5-10210U 35.5cm WIN10 Home), 포함, NVMe 256GB, 8GB","1,649,000"
82,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/07/31/10/6/5a5bb640-fffe-4ccd-9b21-7e75cc2641eb.jpg,"레노버 IdeaPad Slim3-15IML 노트북 블루 81WB00JHKR (i5-10210U 39.6cm MX 330), 미포함, NVMe 256GB, 4GB","562,600"
83,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/08/03/9/2/abda4c77-57c1-4898-8f20-4a0d03d23e81.jpg,"델 노트북 에일리언웨어 Area 51M R2 A002KR (i7-10700K 43.9cm WIN10 Pro RTX2080 Super), 포함, NVMe 2TB, 64GB","5,449,000"
84,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/01/06/14/0/1283c45b-a09a-44e0-a12c-8a35a447aa63.jpg,"레노버 YOGA C740-14IML i5 Vibe 노트북 Iron Grey 81TC007BKR (i5-10210U 35.5cm WIN10 Intel UHD Grapics), 포함, SSD 256GB, 8GB","1,124,200"
85,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/05/20/15/5/632ad3fc-c19d-4c1e-a2c0-a8e3fe5cc5c8.jpg,"LG전자 2020년 울트라PC 노트북 13UD50N-GX50K (i5-10210U 33.7cm), NVMe 256GB, 8GB, Free DOS","799,000"
86,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/09/06/17/2/75760de9-af27-41fb-8239-14e6ed4bd60b.jpg,"레노버 Y545-15 i7 LEGION 2060 노트북 81Q6000WKR(i7-9750H 39.62cm WIN미포함 8GB 256GB SSD RTX2060), 81Q6000WKR, 혼합 색상","1,689,000"
